Country Name,Cluster
Africa Eastern and Southern,0
Africa Western and Central,0
Algeria,1
Angola,0
Benin,0
Botswana,1
Burkina Faso,0
Burundi,0
Cabo Verde,1
Cameroon,0
Central African Republic,0
Chad,0
Comoros,0
"Congo, Dem. Rep.",0
"Congo, Rep.",0
Djibouti,0
"Egypt, Arab Rep.",1
Equatorial Guinea,1
Eritrea,0
Eswatini,1
Ethiopia,0
Gabon,1
"Gambia, The",0
Ghana,1
Guinea,0
Guinea-Bissau,0
Kenya,0
Lesotho,0
Liberia,0
Libya,1
Madagascar,0
Malawi,0
Mali,0
Mauritania,0
Mauritius,1
"Middle East, North Africa, Afghanistan & Pakistan",1
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",1
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",1
Morocco,1
Mozambique,0
Namibia,1
Niger,0
Nigeria,0
Papua New Guinea,0
Rwanda,0
Sao Tome and Principe,1
Senegal,0
Seychelles,1
Sierra Leone,0
Somalia,0
South Africa,1
Sub-Saharan Africa,0
Sub-Saharan Africa (IDA & IBRD countries),0
Sub-Saharan Africa (excluding high income),0
Sudan,0
Tanzania,0
Togo,0
Tunisia,1
Uganda,0
Zambia,0
Zimbabwe,1
